db_id,db_name,dance_style,db_level,is_updated,scraped_name,scraped_level,step_count,comment_count,url,parsed_file_path
14f44143-eba2-441d-80da-65857130eba4,Side Basic Movement,Samba,Newcomer/Bronze,No,,,,,,
4b8cfe4b-8b97-4a38-a313-c4c391975358,Side Samba Chasse,Samba,Silver/Gold,No,,,,,,
657cff0b-fbf5-42db-b14e-e750f3b7796c,Side Samba walk,Samba,Newcomer/Bronze,No,,,,,,
b67b2ce1-721e-46a6-a783-95a64b5821f7,Simple Volta to R or L,Samba,Silver/Gold,No,,,,,,
fe2fdec1-cda5-46c5-a884-f5e97df2a9a2,Solo Spot Volta,Samba,Newcomer/Bronze,No,,,,,,
bf7e3678-72de-4100-8363-875879b28d32,Stationary Samba Walk,Samba,Newcomer/Bronze,No,,,,,,
af643cd4-21fd-40b4-ba16-08c61bd76fd0,Three Step Turn,Samba,Silver/Gold,Yes,Three Step Turn,Gold,6,9,https://www.dancecentral.info/ballroom/international-style/samba/three-step-turn,docs/figures steps/parsed/chunk_1/samba_three-step-turn.json
ac24b548-80e7-46fc-a4c9-c760441655ae,Travelling Bota Fogos Back,Samba,Newcomer/Bronze,Yes,Travelling Bota Fogos Back,Bronze,8,3,https://www.dancecentral.info/ballroom/international-style/samba/traveling-bota-fogos-back,docs/figures steps/parsed/chunk_1/samba_traveling-bota-fogos-back.json
4cf56ad3-3e3c-4bad-98b9-6f87f5bd1000,Travelling Bota Fogos Forward,Samba,Newcomer/Bronze,Yes,Travelling Bota Fogos Forward,Newcomer,10,17,https://www.dancecentral.info/ballroom/international-style/samba/traveling-bota-fogos-forward,docs/figures steps/parsed/chunk_1/samba_traveling-bota-fogos-forward.json
f7e015f1-7c04-49d0-880a-3b694ee44e30,Travelling Bota Fogos Forward in Right Shadow Position,Samba,Newcomer/Bronze,No,,,,,,
4c6bb65d-e619-4872-b214-bcbd6ffa0388,Volta Movement (ogólnie),Samba,Silver/Gold,No,,,,,,
cf422bcf-e0f9-46d6-a4d6-5144940aff97,Whisk to Right and Left Underarm Turn (Volta Spot Turn to R and L for Lady),Samba,Newcomer/Bronze,No,,,,,,
